       regionGas3_s4  |          region3_s4  |CLAS12 Drift Chambers Gas, Sector 4 Region 3  |                            0*cm 2.3232334*cm 0*cm  |                                   0 0 0  | 99ffff   |              G4Trap  |27.191211*cm -0.1742584*rad 1.5707963*rad 196.9932253*cm 9.9229354*cm 211.9451119*cm 0*rad 212.7784669*cm 9.9229354*cm 228.1333279*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       regionGas3_s5  |          region3_s5  |CLAS12 Drift Chambers Gas, Sector 5 Region 3  |                            0*cm 2.3232334*cm 0*cm  |                                   0 0 0  | 99ffff   |              G4Trap  |27.191211*cm -0.1742584*rad 1.5707963*rad 196.9932253*cm 9.9229354*cm 211.9451119*cm 0*rad 212.7784669*cm 9.9229354*cm 228.1333279*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       regionGas3_s6  |          region3_s6  |CLAS12 Drift Chambers Gas, Sector 6 Region 3  |                            0*cm 2.3232334*cm 0*cm  |                                   0 0 0  | 99ffff   |              G4Trap  |27.191211*cm -0.1742584*rad 1.5707963*rad 196.9932253*cm 9.9229354*cm 211.9451119*cm 0*rad 212.7784669*cm 9.9229354*cm 228.1333279*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
              sl1_s1  |       regionGas1_s1  |Region 1, Super Layer 1, Sector 1  |           -2.4238153*cm -3.0768633*cm -5.69497*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |4.05468*cm 0*rad 1.5707963*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 1 wire manual 1 
              sl1_s2  |       regionGas1_s2  |Region 1, Super Layer 1, Sector 2  |           -2.4238153*cm -3.0768633*cm -5.69497*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |4.05468*cm 0*rad 1.5707963*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 1 wire manual 1 
              sl1_s3  |       regionGas1_s3  |Region 1, Super Layer 1, Sector 3  |           -2.4238153*cm -3.0768633*cm -5.69497*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |4.05468*cm 0*rad 1.5707963*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 1 wire manual 1 
              sl1_s4  |       regionGas1_s4  |Region 1, Super Layer 1, Sector 4  |           -2.4238153*cm -3.0768633*cm -5.69497*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |4.05468*cm 0*rad 1.5707963*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 1 wire manual 1 
              sl1_s5  |       regionGas1_s5  |Region 1, Super Layer 1, Sector 5  |           -2.4238153*cm -3.0768633*cm -5.69497*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |4.05468*cm 0*rad 1.5707963*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 1 wire manual 1 
              sl1_s6  |       regionGas1_s6  |Region 1, Super Layer 1, Sector 6  |           -2.4238153*cm -3.0768633*cm -5.69497*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |4.05468*cm 0*rad 1.5707963*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad 75.5799076*cm 5.924798*cm 84.5186673*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 1 wire manual 1 
              sl2_s1  |       regionGas1_s1  |Region 1, Super Layer 2, Sector 1  |              2.522763*cm -4.4435357*cm 5.10402*cm  |         ordered: yxz 0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |4.24431*cm 0*rad 1.5707963*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 2 layer manual 1 wire manual 1 
